"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"quemadura solar leve con enrojecimiento y comezón","antipruriginoso y protector cutáneo","calamina","Loción de Caladryl","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a los componentes, lesiones infectadas, ojos o mucosas; suspender si empeora o persiste","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"picadura de mosquito con comezón leve","antipruriginoso y protector cutáneo","calamina","Loción de Caladryl","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a los componentes, lesiones infectadas, ojos o mucosas; no usar por periodos prolongados sin valoración","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"comezón por irritación o dermatitis de contacto leve","antipruriginoso y protector cutáneo","calamina","Loción de Caladryl","suspensión tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a los componentes, piel infectada, heridas profundas, ojos o mucosas; consultar si las molestias reaparecen","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"picadura de insecto con dolor y comezón","anestésico local y antipruriginoso","pramoxina y acetato de zinc","Caladryl Clear","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a pramoxina, zinc o excipientes; evitar ojos, mucosas y áreas extensas de piel gravemente dañada","NO","PLM; registro sanitario SSA VI; farmacia de medicamentos de libre venta "
"quemadura solar leve con ardor y comezón","anestésico local y antipruriginoso","pramoxina y acetato de zinc","Caladryl Clear","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a los componentes, ojos o mucosas; no aplicar sobre quemaduras extensas o con daño profundo sin valoración","NO","PLM; registro sanitario SSA VI; farmacia de medicamentos de libre venta "
"raspadura pequeña con dolor o comezón","anestésico local y antipruriginoso","pramoxina y acetato de zinc","Caladryl Clear","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a los componentes; no aplicar en heridas profundas, mordeduras, punciones ni áreas con pus o tejido necrótico","NO","PLM; registro sanitario SSA VI "
"comezón acompañada de hinchazón de labios, lengua o dificultad para respirar","anestésico local y antipruriginoso","pramoxina y acetato de zinc","Caladryl Clear","loción tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","No usar para retrasar atención médica inmediata; contraindicado en hipersensibilidad a los componentes","SI","PLM; registro sanitario SSA VI "
"quemadura leve y localizada","regenerador epitelial y protector cutáneo","dexpantenol","Bepanthen Pomada Regeneradora","pomada tópica; seguir instrucciones del empaque","Venta libre en México (producto para cuidado y regeneración de la piel; no requiere receta)","Hipersensibilidad a los componentes, contacto con ojos o mucosas; no usar como sustituto de valoración en quemaduras profundas","NO","Fabricante Bayer México; registro sanitario y farmacovigilancia COFEPRIS "
"cortadura o raspadura superficial","regenerador epitelial y protector cutáneo","dexpantenol","Bepanthen Pomada Regeneradora","pomada tópica; seguir instrucciones del empaque","Venta libre en México (producto para cuidado y regeneración de la piel; no requiere receta)","Hipersensibilidad a la fórmula; evitar ojos y mucosas; no aplicar como único manejo en heridas profundas, mordeduras o punciones","NO","Fabricante Bayer México; registro sanitario y farmacovigilancia COFEPRIS "
"piel reseca, agrietada o irritada","regenerador epitelial y emoliente","dexpantenol","Bepanthen Pomada Regeneradora","pomada tópica; seguir instrucciones del empaque","Venta libre en México (producto para cuidado y regeneración de la piel; no requiere receta)","Hipersensibilidad a los componentes; suspender si produce alergia, enrojecimiento o aumento de la comezón","NO","Fabricante Bayer México; registro sanitario y farmacovigilancia COFEPRIS "
