"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"fatiga o cansancio ocasional asociado con alimentación insuficiente","vitamina/suplemento","vitamina C, vitamina D y zinc","Redoxon AOX Triple Acción","tabletas efervescentes; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Enfermedad renal, hipercalcemia, antecedentes de cálculos renales, exceso de vitamina D o uso simultáneo de otros suplementos con los mismos componentes","NO","Fabricante; COFEPRIS; NOM-086-SSA1 "
"cansancio leve asociado con ingesta insuficiente de vitaminas del complejo B","vitamina/suplemento","vitaminas del complejo B","Coplefor Complejo B CMD","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Alergia a los componentes, enfermedad hepática o renal, embarazo o lactancia sin orientación profesional; evitar duplicar vitaminas del complejo B","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"fatiga leve durante periodos de actividad física o mental","vitamina/suplemento","vitaminas del complejo B, moringa, inositol y magnesio","Greenside Complejo B","tabletas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Enfermedad renal, alergia a los componentes, embarazo o lactancia sin orientación profesional; precaución con medicamentos que afecten el magnesio","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"cansancio leve asociado con actividad física","vitamina/suplemento","L-carnitina y vitaminas B1, B5, B6 y B12","L-Carnitina Complejo B 5H8","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Alergia a los componentes, enfermedad renal, antecedentes de convulsiones, embarazo o lactancia sin orientación profesional","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"fatiga relacionada con posible deficiencia de hierro confirmada","vitamina/suplemento","hierro","Hierro GNC","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Hemocromatosis, anemia no causada por falta de hierro, enfermedad hepática, úlcera gastrointestinal o uso sin análisis que confirme deficiencia; mantener fuera del alcance infantil","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"fatiga extrema persistente, palidez, desmayo o falta de aire","vitamina/suplemento","hierro","Hierro GNC","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","No automedicarse ni retrasar valoración médica; contraindicado en sobrecarga de hierro, anemia de causa desconocida o enfermedad hepática grave","SI","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"ingesta insuficiente de vitamina C","vitamina/suplemento","ácido ascórbico o vitamina C","Vitamina C GNC Frutas Mixtas","tabletas masticables; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Enfermedad renal, antecedentes de cálculos renales, hemocromatosis o uso simultáneo de otros suplementos con vitamina C","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"ingesta insuficiente de vitamina C con dificultad para tragar tabletas","vitamina/suplemento","ácido ascórbico o vitamina C","Nordic Naturals Vitamina C","gomitas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Enfermedad renal, cálculos renales, hemocromatosis, diabetes si contiene azúcares o alergia a los componentes","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"resfriado común como complemento nutricional","vitamina/suplemento","ácido ascórbico o vitamina C","Redoxon Vitamina C","tabletas efervescentes; seguir instrucciones del empaque","Venta libre en México; complemento o suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Enfermedad renal, cálculos renales, hemocromatosis, restricción de sodio o uso simultáneo de otros productos con vitamina C","NO","Fabricante; COFEPRIS; NOM-086-SSA1 "
"resfriado común infantil como complemento nutricional","vitamina/suplemento","ácido ascórbico o vitamina C","Redoxon Infantil","tabletas masticables; seguir instrucciones del empaque","Venta libre en México; complemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","No usar fuera de la edad indicada en el empaque; enfermedad renal, cálculos renales, hemocromatosis o duplicidad con otros suplementos de vitamina C","NO","Fabricante; COFEPRIS; NOM-086-SSA1 "
