"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"resfriado común con congestión, escurrimiento nasal y malestar","antigripal multisíntoma","paracetamol, fenilefrina y clorfenamina","XL-3","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, cardiopatía grave, glaucoma, hipertiroidismo, uso de inhibidores de la MAO, consumo de alcohol o uso simultáneo de otros productos con paracetamol; puede causar somnolencia","NO","PLM; registro sanitario COFEPRIS; etiquetado comercial "
"gripe o resfriado con tos seca y congestión nasal","antigripal, antitusivo y descongestionante","paracetamol, fenilefrina, clorfenamina y dextrometorfano","XL-3 Xtra","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, glaucoma, uso de inhibidores de la MAO o medicamentos serotoninérgicos, consumo de alcohol, tos crónica sin valoración médica o duplicidad de paracetamol","NO","Etiquetado comercial; farmacia minorista nacional; registro sanitario COFEPRIS "
"gripe o resfriado con fiebre, tos seca y congestión","antigripal, analgésico, antitusivo y descongestionante","paracetamol, fenilefrina, clorfenamina y dextrometorfano","Tabcin Active","cápsulas de gel; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, glaucoma, inhibidores de la MAO, medicamentos serotoninérgicos, alcohol, sedantes o uso simultáneo de otros productos con paracetamol","NO","Fabricante; PLM; registro sanitario COFEPRIS "
"síntomas nocturnos de gripe con tos y congestión","antigripal nocturno y antitusivo","paracetamol, fenilefrina, dextrometorfano y doxilamina","Tabcin Noche","cápsulas de gel; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, glaucoma, retención urinaria, hipertensión no controlada, inhibidores de la MAO, alcohol, sedantes o actividades que requieran estar alerta; puede causar somnolencia intensa","NO","Fabricante; PLM; registro sanitario COFEPRIS "
"resfriado o gripe con dolor, fiebre y congestión nasal","antigripal multisíntoma","paracetamol, fenilefrina y clorfenamina","Desenfriol D","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, cardiopatía, glaucoma, hipertiroidismo, inhibidores de la MAO, alcohol o uso simultáneo de productos con paracetamol; puede causar somnolencia","NO","Fabricante; farmacia minorista nacional; registro sanitario COFEPRIS "
"resfriado con congestión, dolor y síntomas alérgicos","antigripal, antihistamínico y descongestionante","loratadina, fenilefrina y paracetamol","Sensibit D NF","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, cardiopatía, glaucoma, hipertiroidismo, inhibidores de la MAO o duplicidad de paracetamol; consultar durante embarazo o lactancia","NO","PLM; registro sanitario COFEPRIS "
"congestión, escurrimiento nasal y fiebre por resfriado","antigripal, antihistamínico y descongestionante","paracetamol, fenilefrina y clorfenamina","Rinofren","solución oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, hipertensión no controlada, glaucoma, hipertiroidismo, retención urinaria, inhibidores de la MAO o duplicidad de paracetamol; puede causar somnolencia","NO","PLM; registro sanitario COFEPRIS "
"rinitis alérgica con congestión nasal","antihistamínico y descongestionante oral","loratadina y fenilefrina","Clarityne D","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipertensión no controlada, cardiopatía grave, glaucoma, hipertiroidismo, retención urinaria, inhibidores de la MAO, embarazo o lactancia sin orientación profesional","NO","PLM; registro sanitario COFEPRIS "
"tos seca o con flemas asociada a resfriado","antitusivo y mucolítico","dextrometorfano y ambroxol","Histiacil NF Adultos","jarabe; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a los componentes, inhibidores de la MAO, medicamentos serotoninérgicos, alcohol, embarazo o lactancia sin orientación profesional, tos crónica por asma, tabaquismo o enfermedad pulmonar sin valoración médica","NO","Fabricante; PLM; farmacia minorista nacional "
"tos seca nocturna o tos con secreciones espesas","antitusivo y mucolítico","dextrometorfano y ambroxol","Mucosolvan Dual","jarabe; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a los componentes, inhibidores de la MAO, medicamentos serotoninérgicos, enfermedad hepática o renal grave, antecedentes de reacciones cutáneas graves, embarazo o lactancia sin orientación profesional","NO","PLM; registro sanitario COFEPRIS "
