"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"dolor de cabeza leve","analgésico/antipirético","paracetamol","Tempra","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o uso simultáneo de otros productos con paracetamol","NO","PLM; COFEPRIS"
"fiebre leve asociada a resfriado","analgésico/antipirético","paracetamol","Tempra","solución oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o duplicidad con otros productos para gripe que contengan paracetamol","NO","PLM; COFEPRIS"
"dolor dental leve","analgésico/antipirético","paracetamol","Tylenol Caplets","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o uso simultáneo de otros productos con paracetamol","NO","PLM; COFEPRIS"
"dolor muscular leve","analgésico/antipirético","paracetamol","Tylex","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o uso simultáneo de otros productos con paracetamol","NO","PLM; COFEPRIS"
"fiebre posterior a vacunación","analgésico/antipirético","paracetamol","Tylenol Infantil","suspensión infantil; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia al paracetamol, enfermedad hepática grave, no usar sin confirmar la edad y el peso indicados en el empaque, evitar duplicidad con otros productos con paracetamol","NO","PLM; COFEPRIS"
"dolor leve asociado a dentición","analgésico/antipirético","paracetamol","Sedalito Infantil","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia al paracetamol, enfermedad hepática grave, no usar sin confirmar la edad y el peso indicados en el empaque, evitar duplicidad con otros productos con paracetamol","NO","PLM; COFEPRIS"
"dolor menstrual leve","analgésico/antipirético","paracetamol","Paracetamol genérico","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o uso simultáneo de otros productos con paracetamol","NO","COFEPRIS; Cuadro Básico CSG"
"dolor de espalda leve","analgésico/antipirético","paracetamol","Paracetamol genérico","cápsulas o tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol o uso simultáneo de otros productos con paracetamol","NO","COFEPRIS; Cuadro Básico CSG"
"fiebre muy alta o persistente","analgésico/antipirético","paracetamol","Tempra Forte","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No usar para retrasar valoración médica urgente; además evitar en enfermedad hepática grave, alergia al paracetamol o duplicidad con otros productos con paracetamol","SI","PLM; COFEPRIS"
"dolor de cabeza súbito e intenso","analgésico/antipirético","paracetamol","Tylenol Caplets","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni retrasar atención inmediata, especialmente si hay debilidad, dificultad para hablar, desmayo o rigidez de cuello; evitar en enfermedad hepática grave","SI","PLM; COFEPRIS"
"dolor de cabeza leve con inflamación","AINE oral","ibuprofeno","Advil","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"dolor dental con inflamación leve","AINE oral","ibuprofeno","Actron","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"cólicos menstruales","AINE oral","ibuprofeno","Motrin","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"dolor por torcedura leve","AINE oral","ibuprofeno","Ibuprofeno genérico","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","COFEPRIS; Cuadro Básico CSG"
"dolor lumbar leve","AINE oral","ibuprofeno","Ibuprofeno genérico","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","COFEPRIS; Cuadro Básico CSG"
"fiebre y malestar corporal","AINE oral","ibuprofeno","Ibuprofeno genérico","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, deshidratación importante, úlcera o sangrado gastrointestinal, enfermedad renal grave, embarazo en tercer trimestre; en menores confirmar edad y peso del empaque","NO","COFEPRIS; Cuadro Básico CSG"
"dolor posterior a vacunación","AINE oral","ibuprofeno","Actron Pediátrico","suspensión pediátrica; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, deshidratación importante, úlcera o sangrado gastrointestinal, enfermedad renal grave; no usar sin confirmar edad y peso indicados en el empaque","NO","PLM; COFEPRIS"
"migraña habitual previamente diagnosticada","analgésico combinado/AINE oral","ibuprofeno y cafeína","Actron Plus","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Contraindicaciones de los AINE, embarazo en tercer trimestre, sensibilidad a la cafeína, arritmias o hipertensión no controlada; evitar otros AINE y exceso de cafeína","NO","PLM; COFEPRIS"
"dolor muscular localizado","AINE tópico","ibuprofeno","Actron Gel","gel tópico; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no aplicar en áreas extensas sin orientación profesional","NO","PLM; COFEPRIS"
"cólicos menstruales con inflamación","AINE oral","naproxeno sódico","Flanax","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"dolor articular leve","AINE oral","naproxeno sódico","Analgen","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"dolor de espalda con inflamación leve","AINE oral","naproxeno sódico","Aleve","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","PLM; COFEPRIS"
"dolor dental con inflamación","AINE oral","naproxeno sódico","Naproxeno sódico genérico","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","COFEPRIS; Cuadro Básico CSG"
