"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"acidez estomacal ocasional","antiácido","hidróxido de aluminio e hidróxido de magnesio","Melox","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, dolor abdominal sin diagnóstico, hipersensibilidad a los componentes o uso prolongado sin valoración médica","NO","PLM; registro sanitario COFEPRIS; etiquetado comercial "
"agruras después de comer","antiácido","hidróxido de aluminio e hidróxido de magnesio","Melox","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, hipofosfatemia, dolor abdominal sin diagnóstico o uso simultáneo con otros medicamentos sin separar su administración","NO","PLM; registro sanitario COFEPRIS; etiquetado comercial "
"acidez acompañada de gases","antiácido y antiflatulento","hidróxido de aluminio, hidróxido de magnesio y simeticona","Melox Plus","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, dolor abdominal intenso sin diagnóstico, hipersensibilidad o uso prolongado sin orientación profesional","NO","PLM; registro sanitario COFEPRIS "
"indigestión con distensión abdominal","antiácido y antiflatulento","hidróxido de aluminio, hidróxido de magnesio y simeticona","Melox Plus","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, hipofosfatemia, dolor abdominal sin diagnóstico o hipersensibilidad a los componentes","NO","PLM; registro sanitario COFEPRIS "
"reflujo y ardor en la boca del estómago","antiácido y antiflatulento","magaldrato y dimeticona","Riopan","gel oral en sobres; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, niveles bajos de fosfato, obstrucción intestinal, hipersensibilidad o síntomas persistentes sin valoración médica","NO","PLM; farmacia minorista nacional; registro sanitario COFEPRIS "
"indigestión con pesadez, gases y náusea leve","antiácido y antiflatulento","magaldrato y dimeticona","Riopan","gel oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, dolor abdominal intenso, hipersensibilidad o uso prolongado sin supervisión profesional","NO","PLM; farmacia minorista nacional; registro sanitario COFEPRIS "
"reflujo gastroesofágico ocasional","barrera antirreflujo y antiácido","alginato de sodio, bicarbonato de sodio y carbonato de calcio","Gaviscon Suspensión","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad renal grave, hipercalcemia, cálculos renales, dieta estricta baja en sodio, insuficiencia cardiaca o hipersensibilidad a los componentes","NO","PLM; registro sanitario COFEPRIS; fabricante "
"regurgitación ácida después de comer","barrera antirreflujo y antiácido","alginato de sodio, bicarbonato de sodio y carbonato de calcio","Gaviscon Suspensión","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad renal grave, hipercalcemia, cálculos renales, restricciones de sodio o síntomas frecuentes y prolongados sin diagnóstico","NO","PLM; registro sanitario COFEPRIS; fabricante "
"acidez estomacal leve","antiácido","carbonato de calcio","Tums","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipercalcemia, insuficiencia renal grave, antecedentes de cálculos renales, sarcoidosis o uso excesivo y prolongado","NO","Farmacia minorista nacional; etiquetado comercial; COFEPRIS "
"indigestión ácida ocasional","antiácido","carbonato de calcio","Tums","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipercalcemia, enfermedad renal grave, cálculos renales o uso simultáneo con medicamentos cuya absorción pueda alterarse","NO","Farmacia minorista nacional; etiquetado comercial; COFEPRIS "
